observed_at,asset_id,site_id,cell_id,is_operating,operating_state,voltage_raw,rotation_raw,pressure_raw,vibration_raw,relative_vibration_z,relative_vibration_zone,generator_version
2026-08-08T14:00:00+09:00,CMP-S01-L01-01,S01,S01-L01,1,running,177.4097,511.9146,104.7325,38.7538,-0.1995,A,relation-reasoning-agent-eval-v3.1
2026-08-08T14:00:00+09:00,CMP-S01-L02-01,S01,S01-L02,1,running,162.5585,467.108,106.9255,42.5362,0.6404,A,relation-reasoning-agent-eval-v3.1
2026-08-08T14:00:00+09:00,CMP-S01-L03-01,S01,S01-L03,1,running,166.4711,437.2012,115.6071,34.4609,-1.1295,B,relation-reasoning-agent-eval-v3.1
2026-08-08T14:00:00+09:00,CMP-S01-L04-01,S01,S01-L04,1,running,186.9301,495.9853,89.9851,34.5752,-0.9589,A,relation-reasoning-agent-eval-v3.1
2026-08-08T14:00:00+09:00,CMP-S01-L05-01,S01,S01-L05,1,running,181.077,398.0769,99.0337,50.2811,1.6182,B,relation-reasoning-agent-eval-v3.1
2026-08-08T14:10:00+09:00,CMP-S01-L01-01,S01,S01-L01,1,running,188.9169,504.597,100.9554,37.629,-0.4078,A,relation-reasoning-agent-eval-v3.1
2026-08-08T14:10:00+09:00,CMP-S01-L02-01,S01,S01-L02,1,running,164.2941,469.6297,106.7779,37.9349,-0.2117,A,relation-reasoning-agent-eval-v3.1
2026-08-08T14:10:00+09:00,CMP-S01-L03-01,S01,S01-L03,1,running,164.9926,454.4438,104.3062,35.9878,-0.8468,A,relation-reasoning-agent-eval-v3.1
2026-08-08T14:10:00+09:00,CMP-S01-L04-01,S01,S01-L04,1,running,171.3047,467.4649,88.0487,39.0665,-0.1271,A,relation-reasoning-agent-eval-v3.1
2026-08-08T14:10:00+09:00,CMP-S01-L05-01,S01,S01-L05,1,running,170.6965,391.202,98.7953,51.7895,1.8976,B,relation-reasoning-agent-eval-v3.1
2026-08-08T14:20:00+09:00,CMP-S01-L01-01,S01,S01-L01,1,running,175.4372,508.6609,98.3467,36.6661,-0.5861,A,relation-reasoning-agent-eval-v3.1
2026-08-08T14:20:00+09:00,CMP-S01-L02-01,S01,S01-L02,1,running,160.2387,456.2763,107.3646,41.0446,0.3641,A,relation-reasoning-agent-eval-v3.1
2026-08-08T14:20:00+09:00,CMP-S01-L03-01,S01,S01-L03,1,running,156.3436,407.8894,107.964,37.7301,-0.5241,A,relation-reasoning-agent-eval-v3.1
2026-08-08T14:20:00+09:00,CMP-S01-L04-01,S01,S01-L04,1,running,182.7273,424.4732,101.1342,38.2574,-0.277,A,relation-reasoning-agent-eval-v3.1
2026-08-08T14:20:00+09:00,CMP-S01-L05-01,S01,S01-L05,1,running,180.2297,397.6044,104.1434,47.4802,1.0996,B,relation-reasoning-agent-eval-v3.1
