from_asset_id,relation_type,to_asset_id
CMP-S02-L01-01,SUPPLIES_AIR_TO,CNC-S02-L01-01
CMP-S02-L01-01,SUPPLIES_AIR_TO,CNC-S02-L01-02
CMP-S02-L01-01,SUPPLIES_AIR_TO,CNC-S02-L01-03
CMP-S02-L01-01,SUPPLIES_AIR_TO,CNC-S02-L01-04
CMP-S02-L02-01,SUPPLIES_AIR_TO,CNC-S02-L02-01
CMP-S02-L02-01,SUPPLIES_AIR_TO,CNC-S02-L02-02
CMP-S02-L02-01,SUPPLIES_AIR_TO,CNC-S02-L02-03
CMP-S02-L02-01,SUPPLIES_AIR_TO,CNC-S02-L02-04
CMP-S02-L03-01,SUPPLIES_AIR_TO,CNC-S02-L03-01
CMP-S02-L03-01,SUPPLIES_AIR_TO,CNC-S02-L03-02
CMP-S02-L03-01,SUPPLIES_AIR_TO,CNC-S02-L03-03
CMP-S02-L03-01,SUPPLIES_AIR_TO,CNC-S02-L03-04
CMP-S02-L04-01,SUPPLIES_AIR_TO,CNC-S02-L04-01
CMP-S02-L04-01,SUPPLIES_AIR_TO,CNC-S02-L04-02
CMP-S02-L04-01,SUPPLIES_AIR_TO,CNC-S02-L04-03
CMP-S02-L04-01,SUPPLIES_AIR_TO,CNC-S02-L04-04
CMP-S02-L05-01,SUPPLIES_AIR_TO,CNC-S02-L05-01
CMP-S02-L05-01,SUPPLIES_AIR_TO,CNC-S02-L05-02
CMP-S02-L05-01,SUPPLIES_AIR_TO,CNC-S02-L05-03
CMP-S02-L05-01,SUPPLIES_AIR_TO,CNC-S02-L05-04
