observed_at,asset_id,site_id,cell_id,is_operating,operating_state,voltage_raw,rotation_raw,pressure_raw,vibration_raw,relative_vibration_z,relative_vibration_zone,generator_version
2026-08-25T18:00:00+09:00,CMP-S02-L01-01,S02,S02-L01,1,running,157.0264,394.6386,103.9762,43.3499,0.7823,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:00:00+09:00,CMP-S02-L02-01,S02,S02-L02,1,running,142.4919,451.6665,104.8591,41.2065,0.197,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:00:00+09:00,CMP-S02-L03-01,S02,S02-L03,1,running,178.5328,462.3569,102.3314,37.4861,-0.7698,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:00:00+09:00,CMP-S02-L04-01,S02,S02-L04,1,running,197.2482,447.8986,103.4895,34.7789,-1.3241,B,relation-reasoning-agent-eval-v3.1
2026-08-25T18:00:00+09:00,CMP-S02-L05-01,S02,S02-L05,1,running,156.3413,432.0632,97.712,39.4077,-0.1717,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:10:00+09:00,CMP-S02-L01-01,S02,S02-L01,1,running,153.8587,378.6588,98.1187,36.2748,-0.5279,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:10:00+09:00,CMP-S02-L02-01,S02,S02-L02,1,running,142.5915,403.9597,106.6866,40.3436,0.0372,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:10:00+09:00,CMP-S02-L03-01,S02,S02-L03,1,running,173.4244,455.5856,111.4149,42.023,0.0703,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:10:00+09:00,CMP-S02-L04-01,S02,S02-L04,1,running,184.094,449.7185,102.2335,38.2889,-0.6741,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:10:00+09:00,CMP-S02-L05-01,S02,S02-L05,1,running,172.0443,451.1981,105.8755,38.6312,-0.3155,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:20:00+09:00,CMP-S02-L01-01,S02,S02-L01,1,running,182.403,399.7029,101.6735,37.849,-0.2364,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:20:00+09:00,CMP-S02-L02-01,S02,S02-L02,1,running,147.2357,450.321,103.6702,46.8288,1.2382,B,relation-reasoning-agent-eval-v3.1
2026-08-25T18:20:00+09:00,CMP-S02-L03-01,S02,S02-L03,1,running,160.545,473.9272,106.4915,35.0662,-1.218,B,relation-reasoning-agent-eval-v3.1
2026-08-25T18:20:00+09:00,CMP-S02-L04-01,S02,S02-L04,1,running,159.9741,435.2718,97.7468,42.4087,0.0888,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:20:00+09:00,CMP-S02-L05-01,S02,S02-L05,1,running,168.1464,456.1494,100.1721,33.7289,-1.2233,B,relation-reasoning-agent-eval-v3.1
2026-08-25T18:30:00+09:00,CMP-S02-L01-01,S02,S02-L01,1,running,177.4543,435.4203,101.9119,45.4053,1.1629,B,relation-reasoning-agent-eval-v3.1
2026-08-25T18:30:00+09:00,CMP-S02-L02-01,S02,S02-L02,1,running,144.8156,442.3461,105.5555,50.553,1.9278,B,relation-reasoning-agent-eval-v3.1
2026-08-25T18:30:00+09:00,CMP-S02-L03-01,S02,S02-L03,1,running,173.3289,448.4172,101.3542,33.4858,-1.5106,B,relation-reasoning-agent-eval-v3.1
2026-08-25T18:30:00+09:00,CMP-S02-L04-01,S02,S02-L04,1,running,157.927,436.0243,90.3418,35.3403,-1.2202,B,relation-reasoning-agent-eval-v3.1
2026-08-25T18:30:00+09:00,CMP-S02-L05-01,S02,S02-L05,1,running,171.7763,474.9607,95.8303,35.3104,-0.9305,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:40:00+09:00,CMP-S02-L01-01,S02,S02-L01,1,running,167.4734,414.8954,93.9642,42.7244,0.6664,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:40:00+09:00,CMP-S02-L02-01,S02,S02-L02,1,running,154.6137,423.9145,103.7677,46.5425,1.1852,B,relation-reasoning-agent-eval-v3.1
2026-08-25T18:40:00+09:00,CMP-S02-L03-01,S02,S02-L03,1,running,178.4761,458.1088,97.723,33.2544,-1.5535,B,relation-reasoning-agent-eval-v3.1
2026-08-25T18:40:00+09:00,CMP-S02-L04-01,S02,S02-L04,1,running,168.6688,428.9785,90.2925,42.8534,0.1712,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:40:00+09:00,CMP-S02-L05-01,S02,S02-L05,1,running,172.5037,448.9561,92.5125,43.2969,0.5485,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:50:00+09:00,CMP-S02-L01-01,S02,S02-L01,1,running,184.9387,480.8223,104.2296,43.3646,0.785,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:50:00+09:00,CMP-S02-L02-01,S02,S02-L02,1,running,143.6699,496.6268,102.3871,53.1753,2.4134,C,relation-reasoning-agent-eval-v3.1
2026-08-25T18:50:00+09:00,CMP-S02-L03-01,S02,S02-L03,1,running,175.1207,429.4555,96.9745,36.0943,-1.0276,B,relation-reasoning-agent-eval-v3.1
2026-08-25T18:50:00+09:00,CMP-S02-L04-01,S02,S02-L04,1,running,175.6102,454.3653,95.6507,38.9713,-0.5478,A,relation-reasoning-agent-eval-v3.1
2026-08-25T18:50:00+09:00,CMP-S02-L05-01,S02,S02-L05,1,running,176.1401,438.393,89.9316,33.8215,-1.2062,B,relation-reasoning-agent-eval-v3.1
2026-08-25T19:00:00+09:00,CMP-S02-L01-01,S02,S02-L01,1,running,185.4227,488.2355,98.6784,41.5235,0.4441,A,relation-reasoning-agent-eval-v3.1
2026-08-25T19:00:00+09:00,CMP-S02-L02-01,S02,S02-L02,1,running,155.2048,534.4856,102.6888,45.9271,1.0712,B,relation-reasoning-agent-eval-v3.1
2026-08-25T19:00:00+09:00,CMP-S02-L03-01,S02,S02-L03,1,running,165.5789,420.2025,101.6932,36.6667,-0.9216,A,relation-reasoning-agent-eval-v3.1
2026-08-25T19:00:00+09:00,CMP-S02-L04-01,S02,S02-L04,1,running,173.6596,432.9088,93.7141,34.2214,-1.4274,B,relation-reasoning-agent-eval-v3.1
2026-08-25T19:00:00+09:00,CMP-S02-L05-01,S02,S02-L05,1,running,160.1337,447.7631,90.6439,26.5752,-2.5481,C,relation-reasoning-agent-eval-v3.1
2026-08-25T19:10:00+09:00,CMP-S02-L01-01,S02,S02-L01,1,running,170.0511,430.0284,105.1731,39.1631,0.0069,A,relation-reasoning-agent-eval-v3.1
2026-08-25T19:10:00+09:00,CMP-S02-L02-01,S02,S02-L02,1,running,154.3394,551.0443,99.9783,41.1615,0.1887,A,relation-reasoning-agent-eval-v3.1
