asset_id,asset_type,site_id,cell_id
CMP-S02-L01-01,compressor,S02,S02-L01
CNC-S02-L01-01,cnc,S02,S02-L01
CNC-S02-L01-02,cnc,S02,S02-L01
CNC-S02-L01-03,cnc,S02,S02-L01
CNC-S02-L01-04,cnc,S02,S02-L01
CMP-S02-L02-01,compressor,S02,S02-L02
CNC-S02-L02-01,cnc,S02,S02-L02
CNC-S02-L02-02,cnc,S02,S02-L02
CNC-S02-L02-03,cnc,S02,S02-L02
CNC-S02-L02-04,cnc,S02,S02-L02
CMP-S02-L03-01,compressor,S02,S02-L03
CNC-S02-L03-01,cnc,S02,S02-L03
CNC-S02-L03-02,cnc,S02,S02-L03
CNC-S02-L03-03,cnc,S02,S02-L03
CNC-S02-L03-04,cnc,S02,S02-L03
CMP-S02-L04-01,compressor,S02,S02-L04
CNC-S02-L04-01,cnc,S02,S02-L04
CNC-S02-L04-02,cnc,S02,S02-L04
CNC-S02-L04-03,cnc,S02,S02-L04
CNC-S02-L04-04,cnc,S02,S02-L04
CMP-S02-L05-01,compressor,S02,S02-L05
CNC-S02-L05-01,cnc,S02,S02-L05
CNC-S02-L05-02,cnc,S02,S02-L05
CNC-S02-L05-03,cnc,S02,S02-L05
CNC-S02-L05-04,cnc,S02,S02-L05
